,ACTA-SCI-TECHNOL,ADV-COMPLEX-SYST,ADV-THEOR-SIMUL,AN-ACAD-BRAS-CIENC,ANN-NY-ACAD-SCI,ARAB-J-SCI-ENG,CHIANG-MAI-J-SCI,COMPLEXITY,CR-ACAD-BULG-SCI,CURR-SCI-INDIA,DEFENCE-SCI-J,DISCRETE-DYN-NAT-SOC,ENDEAVOUR,FRACTALS,FRONT-BIOENG-BIOTECH,FRONT-LIFE-SCI,GIGASCIENCE,GLOB-CHALL,INTERDISCIPL-SCI-REV,INT-J-BIFURCAT-CHAOS,IRAN-J-SCI-TECHNOL-A,ISCIENCE,ISSUES-SCI-TECHNOL,J-ADV-RES,J-INDIAN-I-SCI,J-KING-SAUD-UNIV-SCI,J-NATL-SCI-FOUND-SRI,JOVE-J-VIS-EXP,J-RADIAT-RES-APPL-SC,J-R-SOC-INTERFACE,J-TAIBAH-UNIV-SCI,KUWAIT-J-SCI,MAEJO-INT-J-SCI-TECH,MIT-TECHNOL-REV,NAT-COMMUN,NAT-HUM-BEHAV,NATL-ACAD-SCI-LETT,NATL-SCI-REV,NATURE,NEW-SCI,NPJ-MICROGRAVITY,PHILOS-T-R-SOC-A,P-JPN-ACAD-B-PHYS,PLOS-ONE,P-NATL-ACAD-SCI-USA,P-NATL-A-SCI-INDIA-A,P-ROMANIAN-ACAD-A,REND-LINCEI-SCI-FIS,RES-SYNTH-METHODS,ROY-SOC-OPEN-SCI,S-AFR-J-SCI,SAINS-MALAYS,SCI-ADV,SCI-AM,SCI-BULL,SCI-DATA,SCIENCE,SCIENCEASIA,SCI-ENG-ETHICS,SCIENTIST,SCI-PROGRESS-UK,SCI-REP-UK,SYMMETRY-BASEL,T-ROY-SOC-SOUTH-AUST
ACTA-SCI-TECHNOL,57179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12706,6353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADV-COMPLEX-SYST,0,49200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73800,0,0,0,0,135301,49200,0,0,0,0,0,0,0,0,0,0,0,12300,0,0,0,0,61500,0,0
ADV-THEOR-SIMUL,0,0,51037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2268,0,0,0,0,170125,0,0,2268,65782,0,0,6805,0,17012,58976,0,0,0,0,0,0,0,28354,0,2268,5670,95270,0,0,0,0,150844,0,0
AN-ACAD-BRAS-CIENC,661,0,0,42314,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,0,0,0,0,0,1322,0,0,0,0,9256,0,0,0,13884,0,0,0,0,108429,13884,0,0,0,0,5289,0,0,7933,0,0,0,25785,0,661,0,0,39008,0,0
ANN-NY-ACAD-SCI,0,0,0,0,169438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3137,0,0,0,0,0,1568,0,9413,0,0,0,0,100407,3137,0,0,164731,0,0,6275,0,370254,194540,0,0,0,0,3137,0,0,20395,3137,0,0,101976,0,0,0,0,150611,0,0
ARAB-J-SCI-ENG,0,0,0,0,0,150492,0,0,0,0,1875,1406,0,468,937,0,0,0,0,0,937,0,0,2812,0,1406,0,0,0,0,937,0,0,0,1406,0,1875,0,2344,0,0,1406,0,21097,3281,0,0,0,0,937,0,468,0,0,0,0,2344,0,0,0,0,14064,0,0
CHIANG-MAI-J-SCI,0,0,0,0,6611,0,79338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6611,0,0,0,0,0,9917,0,0,0,3305,0,0,0,0,26446,0,0,0,0,0,0,0,6611,0,0,0,0,3305,0,0,0,0,39669,0,0
COMPLEXITY,0,1624,0,0,812,2437,0,215713,0,0,0,11374,0,406,0,0,0,0,0,39405,0,0,0,0,0,0,0,0,0,4062,0,0,0,0,7718,1624,0,0,10155,0,0,812,0,44280,16655,0,0,0,0,1624,0,0,812,0,0,0,13405,0,0,0,0,42655,8124,0
CR-ACAD-BULG-SCI,0,0,0,0,0,0,0,0,278188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5918,0,0,0,2959,0,0,0,0,23675,2959,0,0,0,0,0,0,0,0,0,0,0,2959,0,0,0,0,14797,0,0
CURR-SCI-INDIA,0,0,0,0,0,1776,0,0,0,221156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,2664,0,0,0,0,0,13322,0,0,0,36415,0,0,1776,1776,51514,17763,1776,0,0,0,5329,0,0,3552,3552,0,1776,21316,888,0,0,0,40856,0,0
DEFENCE-SCI-J,11080,0,0,0,0,0,0,0,0,11080,138504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISCRETE-DYN-NAT-SOC,0,0,0,0,0,0,0,24255,0,0,0,165380,0,0,0,0,0,0,0,41896,0,0,0,0,0,0,0,0,0,2205,0,0,0,0,0,0,0,0,2205,0,0,0,0,11025,2205,0,0,0,0,0,0,0,0,0,0,0,2205,0,0,0,0,6615,8820,0
ENDEAVOUR,0,0,0,0,0,0,0,0,0,0,0,0,18726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRACTALS,0,0,0,0,0,1811,0,0,0,0,0,0,0,900199,0,0,0,0,0,7245,3622,0,0,0,0,3622,0,0,0,0,0,0,0,0,3622,0,0,0,3622,0,0,0,0,34414,12678,0,0,0,0,0,0,0,9056,0,0,0,3622,0,0,0,0,54337,0,0
FRONT-BIOENG-BIOTECH,0,0,0,0,646,0,0,0,0,0,0,0,0,0,74323,0,1938,0,0,0,0,1938,0,1292,0,0,0,17449,0,21973,0,0,0,0,115685,0,0,0,83371,0,0,3231,0,237187,117624,0,0,0,0,1938,0,0,12925,0,0,0,62689,0,1292,0,0,259161,0,0
FRONT-LIFE-SCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243902,0,0,0,487804,0,0,0,0,0,243902,0,0,0,0,0,0,0,0,0,0,0,406504,0,0,0,0,0,0,0
GIGASCIENCE,0,0,0,0,4811,0,0,0,0,0,0,0,0,0,0,0,202068,0,0,0,0,0,0,0,0,0,0,1202,0,3608,0,0,0,3608,109453,0,0,0,217705,0,0,0,0,240558,108251,0,0,0,0,3608,0,0,7216,0,0,32475,122684,0,0,0,0,96223,0,0
GLOB-CHALL,0,0,0,0,3709,0,0,0,0,0,0,0,0,0,0,0,0,44510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133531,0,0,11127,70474,0,0,0,0,25964,22255,0,0,0,0,0,0,0,33382,0,0,0,103857,0,0,0,0,59347,0,0
INTERDISCIPL-SCI-REV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15785,0,0,0,0,31570,47355,0,0,0,0,0,0,0,0,0,0,0,15785,0,0,0,0,0,0,0
INT-J-BIFURCAT-CHAOS,0,0,0,0,0,0,0,28565,0,0,0,5493,0,1098,0,0,0,0,0,535047,0,0,0,0,0,0,0,0,0,4394,0,0,0,0,9887,0,0,0,4394,0,0,6591,0,30762,14282,0,0,0,0,0,0,0,0,0,0,0,6591,0,0,0,0,30762,0,0
IRAN-J-SCI-TECHNOL-A,0,0,0,0,0,2211,0,2211,0,2211,0,0,0,0,0,0,0,0,0,0,50856,0,0,3316,0,3316,0,0,5527,0,0,0,0,0,3316,0,2211,0,1105,0,0,0,0,14372,1105,4422,1105,0,0,2211,0,0,0,0,0,0,5527,0,0,0,0,2211,0,0
ISCIENCE,0,0,0,0,1749,0,0,349,0,0,0,0,0,0,2449,0,2099,0,0,0,0,16096,0,0,0,0,0,5948,0,5948,0,0,0,0,169716,0,0,1049,145921,0,699,349,0,106029,115127,0,0,0,0,1049,0,0,20296,349,2099,1049,123175,0,0,0,0,95531,0,0
ISSUES-SCI-TECHNOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J-ADV-RES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87419,0,0,0,0,0,0,0,0,0,0,41809,0,0,0,64614,0,0,0,0,296465,60813,0,0,0,0,0,0,0,0,0,0,0,45610,0,0,0,0,247054,0,0
J-INDIAN-I-SCI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132450,0,0,0,0,596026,0,0,0,132450,0,0,0,0,794701,529801,0,0,0,0,0,0,0,132450,0,0,0,596026,0,0,0,0,2119205,0,0
J-KING-SAUD-UNIV-SCI,0,0,0,2944,0,5889,4416,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80977,0,0,0,0,5889,0,0,0,2944,0,1472,0,7361,0,0,0,0,30918,1472,0,2944,0,0,0,0,0,0,0,0,0,8833,0,0,0,0,22084,0,0
J-NATL-SCI-FOUND-SRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23640,0,0,0,0,0,0,0,15760,0,0,0,0,0,0,0,0,78802,15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23640,39401,0
JOVE-J-VIS-EXP,0,0,0,0,1556,0,0,0,0,0,0,0,0,0,1815,0,1556,0,0,0,0,1037,0,778,0,0,0,147352,0,2075,0,0,0,0,79383,0,0,0,77827,0,1297,0,0,138272,85609,0,0,0,0,1297,0,0,6485,259,0,778,68747,0,0,0,0,105325,0,0
J-RADIAT-RES-APPL-SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179344,0,12368,0,0,0,0,0,0,0,6184,0,0,0,0,18552,0,0,0,0,0,0,12368,18552,0,0,0,0,0,0,0,0,0,0,0,0
J-R-SOC-INTERFACE,0,0,0,0,785,0,0,3928,0,0,0,0,0,0,3928,0,0,0,0,0,0,0,0,0,0,0,0,4714,0,188575,0,0,0,0,77001,1571,0,0,84073,0,0,9428,0,172075,191718,0,0,0,0,21214,0,0,14928,785,0,1571,88001,0,0,0,0,142217,0,0
J-TAIBAH-UNIV-SCI,0,0,0,0,0,5382,0,0,0,0,0,8073,0,0,0,0,0,0,0,2691,5382,0,0,10764,0,21528,0,0,0,0,207212,0,0,0,0,0,5382,0,0,0,0,0,0,13455,0,0,10764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8073,10764,0
KUWAIT-J-SCI,0,0,0,0,0,18957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388625,0,0,0,0,0,0,0,0,0,0,0,9478,0,0,0,0,0,0,0,0,0,0,0,0,18957,0,0,0,0,0,0,0
MAEJO-INT-J-SCI-TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61855,0,0,0,0,0,0,0,0,0,0,41237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIT-TECHNOL-REV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAT-COMMUN,0,0,162,0,1757,0,0,65,0,0,0,0,0,0,423,0,2799,130,0,0,0,520,0,0,0,0,0,5468,0,2799,0,0,0,32,263168,1627,0,1204,226484,65,0,2050,65,71642,153181,0,0,0,32,1041,0,0,24217,65,683,2636,177398,0,0,65,0,81505,32,0
NAT-HUM-BEHAV,0,4715,0,0,6287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4715,0,0,0,0,75447,152467,0,0,91166,0,0,1571,0,128890,278214,0,0,0,0,12574,0,0,14146,1571,0,3143,108456,0,0,0,0,56585,0,0
NATL-ACAD-SCI-LETT,0,0,0,0,0,6301,0,0,0,18903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56710,0,0,0,0,0,0,12602,6301,0,0,0,0,0,0,0,0,0,0,0,12602,0,0,0,0,0,0,0
NATL-SCI-REV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6903,0,0,0,0,0,0,0,0,0,6903,0,0,0,0,0,0,552295,0,0,358992,648947,0,0,0,0,96651,303762,0,0,0,0,10355,0,0,107007,0,55229,0,628236,0,0,0,0,238177,0,0
NATURE,0,0,0,0,237,0,0,0,0,475,0,0,0,0,475,0,1665,0,0,0,0,0,0,0,0,0,0,6423,0,4044,0,0,0,713,221249,4282,0,951,762477,0,0,6185,0,70657,194604,0,0,0,0,1427,951,0,37350,475,951,8564,371841,0,0,0,0,73511,0,0
