,ACTA-SCI-TECHNOL,ADV-COMPLEX-SYST,ADV-THEOR-SIMUL,AN-ACAD-BRAS-CIENC,ANN-NY-ACAD-SCI,ARAB-J-SCI-ENG,CHIANG-MAI-J-SCI,COMPLEXITY,CR-ACAD-BULG-SCI,CURR-SCI-INDIA,DEFENCE-SCI-J,DISCRETE-DYN-NAT-SOC,ENDEAVOUR,FRACTALS,FRONT-BIOENG-BIOTECH,FRONT-LIFE-SCI,GIGASCIENCE,GLOB-CHALL,INTERDISCIPL-SCI-REV,INT-J-BIFURCAT-CHAOS,IRAN-J-SCI-TECHNOL-A,ISCIENCE,ISSUES-SCI-TECHNOL,J-ADV-RES,J-INDIAN-I-SCI,J-KING-SAUD-UNIV-SCI,J-NATL-SCI-FOUND-SRI,JOVE-J-VIS-EXP,J-RADIAT-RES-APPL-SC,J-R-SOC-INTERFACE,J-TAIBAH-UNIV-SCI,KUWAIT-J-SCI,MAEJO-INT-J-SCI-TECH,MIT-TECHNOL-REV,NAT-COMMUN,NAT-HUM-BEHAV,NATL-ACAD-SCI-LETT,NATL-SCI-REV,NATURE,NEW-SCI,NPJ-MICROGRAVITY,PHILOS-T-R-SOC-A,P-JPN-ACAD-B-PHYS,PLOS-ONE,P-NATL-ACAD-SCI-USA,P-NATL-A-SCI-INDIA-A,P-ROMANIAN-ACAD-A,REND-LINCEI-SCI-FIS,RES-SYNTH-METHODS,ROY-SOC-OPEN-SCI,S-AFR-J-SCI,SAINS-MALAYS,SCI-ADV,SCI-AM,SCI-BULL,SCI-DATA,SCIENCE,SCIENCEASIA,SCI-ENG-ETHICS,SCIENTIST,SCI-PROGRESS-UK,SCI-REP-UK,SYMMETRY-BASEL,T-ROY-SOC-SOUTH-AUST
ACTA-SCI-TECHNOL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADV-COMPLEX-SYST,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
ADV-THEOR-SIMUL,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,150,0,0,2,58,0,0,6,0,15,52,0,0,0,0,0,0,0,25,0,2,5,84,0,0,0,0,133,0,0
AN-ACAD-BRAS-CIENC,1,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,14,0,0,0,21,0,0,0,0,164,21,0,0,0,0,8,0,0,12,0,0,0,39,0,1,0,0,59,0,0
ANN-NY-ACAD-SCI,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,0,0,0,0,64,2,0,0,105,0,0,4,0,236,124,0,0,0,0,2,0,0,13,2,0,0,65,0,0,0,0,96,0,0
ARAB-J-SCI-ENG,0,0,0,0,0,321,0,0,0,0,4,3,0,1,2,0,0,0,0,0,2,0,0,6,0,3,0,0,0,0,2,0,0,0,3,0,4,0,5,0,0,3,0,45,7,0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,30,0,0
CHIANG-MAI-J-SCI,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,12,0,0
COMPLEXITY,0,4,0,0,2,6,0,531,0,0,0,28,0,1,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,10,0,0,0,0,19,4,0,0,25,0,0,2,0,109,41,0,0,0,0,4,0,0,2,0,0,0,33,0,0,0,0,105,20,0
CR-ACAD-BULG-SCI,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
CURR-SCI-INDIA,0,0,0,0,0,2,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,15,0,0,0,41,0,0,2,2,58,20,2,0,0,0,6,0,0,4,4,0,2,24,1,0,0,0,46,0,0
DEFENCE-SCI-J,2,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISCRETE-DYN-NAT-SOC,0,0,0,0,0,0,0,11,0,0,0,75,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0
