journal_name,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,journalrank
NATURE,2.0,0.0,1.0,0.223606797749979,0.2511997518309779
SCIENCE,2.0,0.0,1.0,0.223606797749979,0.23312036849246304
NATL-SCI-REV,2.0,0.0,1.0,0.223606797749979,0.00868383410623403
SCI-ADV,2.0,0.0,1.0,0.223606797749979,0.0276156355788561
NAT-HUM-BEHAV,2.0,0.0,1.0,0.223606797749979,0.009489037816065296
NAT-COMMUN,2.0,0.0,1.0,0.223606797749979,0.11253813220166031
SCI-BULL,2.0,0.0,1.0,0.223606797749979,0.008560638631881182
P-NATL-ACAD-SCI-USA,2.0,0.0,1.0,0.223606797749979,0.18500186747716174
J-ADV-RES,2.0,0.0,1.0,0.223606797749979,0.008065257008798048
GIGASCIENCE,2.0,0.0,1.0,0.223606797749979,0.00998243399055187
SCI-DATA,2.0,0.0,1.0,0.223606797749979,0.011288269733259028
RES-SYNTH-METHODS,2.0,0.0,1.0,0.223606797749979,0.007855932622411705
ANN-NY-ACAD-SCI,2.0,0.0,1.0,0.223606797749979,0.012627616313563975
FRACTALS,2.0,0.0,1.0,0.223606797749979,0.008026360796150676
ISCIENCE,2.0,0.0,1.0,0.223606797749979,0.008383016307405532
GLOB-CHALL,2.0,0.0,1.0,0.223606797749979,0.008056147704881387
SCI-REP-UK,2.0,0.0,1.0,0.223606797749979,0.06171215097504311
J-KING-SAUD-UNIV-SCI,2.0,0.0,1.0,0.223606797749979,0.00805097100434769
J-R-SOC-INTERFACE,2.0,0.0,1.0,0.223606797749979,0.011381015609664608
FRONT-BIOENG-BIOTECH,2.0,0.0,1.0,0.223606797749979,0.008361561798622817
